target_kw,mp_id,donor_mp_id,injected_daily_kwh,injected_peak_kw,night_noise_kwh_slot,recovered,donor_based
0.3,149757,128655,1.6797256469726562,0.3346666693687439,0.0,1,True
0.3,701,39692,3.7719688415527344,0.3839722275733948,0.0141,0,True
0.3,79484,94429,1.2057420015335083,0.31212496757507324,0.0015,1,True
0.3,88974,94429,1.1900161504745483,0.312666654586792,0.0133,1,True
0.3,119269,122261,2.0483226776123047,0.31779998540878296,0.0059,1,True
0.3,99611,94429,1.163306474685669,0.31062501668930054,0.0178,1,True
0.3,118947,154455,6.6182098388671875,0.34295862913131714,0.0148,1,True
0.3,111646,134329,4.2390899658203125,0.31800079345703125,0.0119,1,True
0.3,54820,134329,4.523392677307129,0.3118168115615845,0.0015,1,True
0.3,116088,46952,2.3017737865448,0.34223946928977966,0.0089,1,True
0.3,137235,134329,4.458618640899658,0.3160741329193115,0.063,1,True
0.3,161780,39692,3.8663222789764404,0.38534969091415405,0.0104,1,True
0.3,133665,134329,4.027528285980225,0.3174588680267334,0.0297,0,True
0.3,61600,154455,5.954100131988525,0.34295862913131714,0.0334,1,True
0.3,36022,46952,2.4352259635925293,0.35755977034568787,0.0059,1,True
0.3,143761,154455,7.632064342498779,0.4421606659889221,0.0,1,True
0.5,53628,63027,4.008871555328369,0.5149339437484741,0.358,1,True
0.5,155092,134329,4.295954704284668,0.5341796875,1.1208,0,True
0.5,120027,130287,1.0837088823318481,0.4884490966796875,9.5739,0,True
0.5,156859,122261,2.140226125717163,0.5196914672851562,1.4826,0,True
0.5,134355,94429,1.1845647096633911,0.5175552368164062,2.2773,0,True
0.5,50922,122261,2.1364190578460693,0.5172309875488281,1.0141,0,True
0.5,45390,46952,2.305161476135254,0.5855163335800171,2.1883,1,True
0.5,52540,130287,1.0896446704864502,0.4964447021484375,1.8384,0,True
0.5,45389,128655,1.7166773080825806,0.560333251953125,0.0756,0,True
0.5,42451,134329,3.908748149871826,0.5179634094238281,0.8829,0,True
