plz,n_buildings,n_hotwater_hp,n_separate_wpb,n_known,n_small_air_boiler,gwr_hp_rate,gwr_separate_wpb_rate,gwr_hp_rate_known,gwr_hp_rate_including_small_air
5725,263,48,1,263,0,0.18250950570342206,0.0038022813688212928,0.18250950570342206,0.18250950570342206
5726,836,151,1,830,0,0.180622009569378,0.0011961722488038277,0.1819277108433735,0.180622009569378
5727,697,118,6,696,0,0.16929698708751795,0.00860832137733142,0.16954022988505746,0.16929698708751795
5728,688,124,2,687,0,0.18023255813953487,0.0029069767441860465,0.1804949053857351,0.18023255813953487
5732,428,120,3,427,0,0.2803738317757009,0.007009345794392523,0.2810304449648712,0.2803738317757009
5733,178,49,1,178,0,0.2752808988764045,0.0056179775280898875,0.2752808988764045,0.2752808988764045
5734,1883,389,6,1882,0,0.20658523632501327,0.003186404673393521,0.20669500531349627,0.20658523632501327
5736,316,67,1,316,0,0.2120253164556962,0.0031645569620253164,0.2120253164556962,0.2120253164556962
5737,1525,399,6,1523,0,0.26163934426229507,0.003934426229508197,0.26198292843072885,0.26163934426229507
5742,1307,195,12,1298,0,0.14919663351185922,0.009181331293037491,0.150231124807396,0.14919663351185922
5745,1120,239,8,1106,0,0.21339285714285713,0.007142857142857143,0.21609403254972875,0.21339285714285713
6034,4,3,0,4,0,0.75,0.0,0.75,0.75
6042,298,93,0,298,0,0.31208053691275167,0.0,0.31208053691275167,0.31208053691275167
6264,1,0,0,1,0,0.0,0.0,0.0,0.0
6275,1,0,0,1,0,0.0,0.0,0.0,0.0
6277,2,0,0,2,0,0.0,0.0,0.0,0.0
8109,4,0,0,4,0,0.0,0.0,0.0,0.0
8905,674,202,1,667,0,0.2997032640949555,0.001483679525222552,0.3028485757121439,0.2997032640949555
8916,609,244,8,597,0,0.4006568144499179,0.013136288998357963,0.40871021775544386,0.4006568144499179
8917,522,156,5,520,0,0.2988505747126437,0.009578544061302681,0.3,0.2988505747126437
8918,368,109,4,368,0,0.296195652173913,0.010869565217391304,0.296195652173913,0.296195652173913
8919,257,84,1,257,0,0.32684824902723736,0.0038910505836575876,0.32684824902723736,0.32684824902723736
8953,2,0,0,2,0,0.0,0.0,0.0,0.0
8956,480,142,4,477,0,0.29583333333333334,0.008333333333333333,0.2976939203354298,0.29583333333333334
8957,999,136,2,983,0,0.13613613613613615,0.002002002002002002,0.13835198372329605,0.13613613613613615
8962,857,281,6,857,0,0.3278879813302217,0.007001166861143524,0.3278879813302217,0.3278879813302217
8964,896,119,10,891,0,0.1328125,0.011160714285714286,0.1335578002244669,0.1328125
8965,945,114,5,944,0,0.12063492063492064,0.005291005291005291,0.12076271186440678,0.12063492063492064
8966,662,227,8,646,0,0.3429003021148036,0.012084592145015106,0.35139318885448917,0.3429003021148036
8967,796,176,13,790,0,0.22110552763819097,0.016331658291457288,0.22278481012658227,0.22110552763819097
