mp_id,imp_kwh,imp_days,imp_night_kwh,exp_kwh,exp_days,exp_midday_days,best_summer_days,best_summer_midday_days,peak_slot_med
35849,53730.70819091797,1239,6874.984962463379,92299.544921875,1239,1157,123,123,51.5
35850,122690.21008300781,1239,16735.453048706055,18625.30794429779,1239,993,123,123,50.0
35851,4005.1310443878174,1239,463.0790013074875,0.0,1239,0,0,0,
35852,55493.470275878906,1239,11611.641969680786,0.0,1239,0,0,0,
35853,7449.687034606934,1239,1721.1040058135986,0.0,1239,0,0,0,
35854,30263.58901977539,1239,3386.5960063934326,0.0,1239,0,0,0,
35855,13235.781997680664,1239,622.3639993667603,0.0,1239,0,0,0,
35856,31942.989959716797,1239,3178.9160118103027,0.0,1239,0,0,0,
35858,17026.202072143555,1239,1796.0660028457642,0.0,1239,0,0,0,
35859,12594.38296508789,1239,2258.4819955825806,0.0,1239,0,0,0,
35860,23129.52294921875,1239,1847.7010097503662,0.0,1239,0,0,0,
35861,11326.196044921875,1239,931.8640060424805,0.0,1239,0,0,0,
35862,23465.397033691406,1239,5282.138927459717,0.0,1239,0,0,0,
35863,9049.751998901367,1239,660.3349914550781,0.0,1239,0,0,0,
35864,7866.76904296875,1239,1294.6339831352234,0.11100000340957195,1239,0,0,0,53.5
35865,46137.539306640625,1239,5965.374977111816,0.0,1239,0,0,0,
35866,19018.727966308594,1239,4609.2399559021,0.0,1239,0,0,0,
35867,40396.5739440918,1239,5871.094061374664,0.0,1239,0,0,0,
35868,24888.464126586914,1239,2230.449998855591,0.0,1239,0,0,0,
35869,16346.658065795898,1239,2776.9879883527756,0.0,1239,0,0,0,
35870,29271.312118530273,1239,3237.4950256347656,0.0,1239,0,0,0,
35871,2405.1619911193848,1239,76.46700119972229,0.003000000142492354,1239,0,0,0,31.0
35872,34633.96990966797,1239,6486.501998901367,0.0,1239,0,0,0,
35873,16952.016036987305,1239,1576.4600031375885,0.0,1239,0,0,0,
35874,4782.751968383789,1239,197.04200053215027,0.0,1239,0,0,0,
35875,45792.10809326172,1239,6318.62907409668,0.0,1239,0,0,0,
35876,16290.826049804688,1239,2149.358980178833,0.0,1239,0,0,0,
35877,19586.123962402344,1239,640.6620020866394,0.0,1239,0,0,0,
35878,35787.10009765625,1239,3936.1600189208984,0.0,1239,0,0,0,
35879,4881.584991455078,266,524.6049957275391,8.829999923706055,266,9,0,0,47.0
35880,1932.2049865722656,266,122.06000137329102,0.0,266,0,0,0,
35881,25611.563018798828,1239,2434.024995803833,0.0,1239,0,0,0,
35882,13399.42007446289,1239,1107.1150016784668,0.0,1239,0,0,0,
35883,7340.075965881348,1239,445.14000034332275,0.0,1239,0,0,0,
35884,16099.490112304688,1239,1514.6499919891357,0.0,1239,0,0,0,
35885,27206.2900390625,1239,1738.9789943695068,0.0,1239,0,0,0,
35886,13496.751098632812,1239,2949.89501953125,0.0,1239,0,0,0,
35887,13359.627975463867,1239,1082.352991104126,0.0,1239,0,0,0,
35888,5785.013031005859,1239,242.05799651145935,0.0,1239,0,0,0,
35889,26709.329711914062,1239,4671.845952987671,25545.207038879395,1239,1048,123,123,46.0
35890,35788.67025756836,1239,3275.2299842834473,0.0,1239,0,0,0,
35891,2734.685969352722,1239,181.73500031232834,0.0,1239,0,0,0,
35892,6364.758018493652,1239,295.25899744033813,0.0,1239,0,0,0,
35893,12743.870040893555,1239,1449.467004776001,30632.303955078125,1239,1149,123,123,49.0
35894,31432.454956054688,1239,1711.5469951629639,0.0,1239,0,0,0,
35895,7157.808990478516,1239,527.0019912719727,0.0,1239,0,0,0,
35896,68584.31420898438,1239,8992.256927490234,0.0,1239,0,0,0,
35897,46384.12713623047,1239,5427.653026580811,0.0,1239,0,0,0,
35898,43741.896728515625,1239,3609.2619667053223,0.0,1239,0,0,0,
35899,26988.22491455078,1239,1887.5009880065918,0.0,1239,0,0,0,
35900,16510.834014892578,1239,1734.7140016555786,0.0,1239,0,0,0,
35925,71.80899810791016,1058,20.26799964904785,737.6129760742188,1058,11,31,11,49.0
35942,48913.310546875,1270,7961.409971237183,0.0,1270,0,0,0,
35943,38816.91711425781,1270,4009.134002685547,0.0,1270,0,0,0,
35944,66220.46138000488,1270,20213.79194355011,0.0,1270,0,0,0,
35945,19914.265045166016,783,8017.216966629028,0.0,783,0,0,0,
35946,73920.31069946289,1270,18563.367916107178,0.0,1270,0,0,0,
35947,22010.365760803223,1239,2549.4779872894287,7952.364002585411,1239,530,123,103,53.0
35949,9940.850036621094,1270,719.2249984741211,0.0,1270,0,0,0,
35950,71239.24752807617,1270,18192.25380706787,0.0,1270,0,0,0,
35951,20850.005813598633,1270,1183.2510032653809,0.02600000170059502,1270,0,0,0,37.0
35952,28834.101028442383,1270,3445.1059856414795,0.0,1270,0,0,0,
35953,6440.200038909912,1270,459.0850031375885,0.0,1270,0,0,0,
35954,5434.990989685059,1270,343.69500279426575,0.0,1270,0,0,0,
35955,7443.948020935059,1270,602.9260034561157,0.0,1270,0,0,0,
35956,6354.262985229492,1270,692.1860017776489,0.0,1270,0,0,0,
35957,7838.54695892334,1270,411.4070019721985,0.0,1270,0,0,0,
35958,10115.377944946289,1270,1450.1030025482178,0.0,1270,0,0,0,
35959,2570.740972980857,1239,45.870999321341515,0.0,1239,0,0,0,
35960,31895.519958496094,1239,2926.72599029541,0.0,1239,0,0,0,
35961,2883.900966644287,1239,235.27399706840515,0.0,1239,0,0,0,
35962,6037.038005828857,1239,721.5799994468689,0.0,1239,0,0,0,
35963,3766.308032989502,1239,424.1989994049072,0.0,1239,0,0,0,
35964,4154.677001953125,1239,415.8480010032654,0.0,1239,0,0,0,
35965,1938.5639686584473,1239,201.10899567604065,0.0,1239,0,0,0,
35966,2328.3920154571533,1239,191.15100502967834,0.0,1239,0,0,0,
35967,814.5390090942383,1239,50.02799904346466,0.0,1239,0,0,0,
35968,5641.871032714844,327,307.636999130249,0.0,327,0,0,0,
35969,747.6219940185547,358,87.41499853134155,0.0,358,0,0,0,
35970,9381.314956665039,1270,664.3120007514954,0.0,1270,0,0,0,
35971,11803.980072021484,509,1386.732006072998,0.0,509,0,0,0,
35973,9838.734024047852,1270,705.8239974975586,0.0,1270,0,0,0,
35974,18632.863861083984,1239,1590.412986755371,0.0010000000474974513,1239,0,0,0,39.0
35975,19520.259994506836,1239,2229.422992706299,0.0,1239,0,0,0,
35976,9375.368072509766,1239,679.6600093841553,0.0,1239,0,0,0,
35977,12788.95004272461,1239,1428.2879810333252,0.0,1239,0,0,0,
35978,27359.93896484375,1239,3175.2969913482666,0.0,1239,0,0,0,
35979,44993.80627441406,1239,5548.5250244140625,0.0,1239,0,0,0,
35980,12221.523880004883,1239,1529.7929859161377,0.0,1239,0,0,0,
35981,24890.413024902344,1239,2410.2259883880615,0.0,1239,0,0,0,
35982,45471.15951538086,1239,5202.150978088379,0.0,1239,0,0,0,
35983,2488.954969406128,1239,273.1840044260025,0.0,1239,0,0,0,
35984,12089.191040039062,1239,1318.2350044250488,0.0,1239,0,0,0,
