mp_id,is_production_meter,is_silver_pv,exp_kwh,imp_kwh,best_summer_midday_days,peak_slot_med
144140,False,True,7280.475927948952,6723.2709765434265,91,51.0
144141,False,True,4614.11196231842,7118.098000764847,90,53.0
144142,False,True,5663.034958660603,6906.978993356228,89,51.0
144143,False,True,2792.9709856197005,17526.07611846924,83,54.0
144144,False,True,2205.9560171067715,5823.314010322094,81,53.0
144145,False,True,4484.674043536186,5061.118045806885,87,51.0
144146,False,True,5502.070951104164,4936.680042266846,90,52.0
144148,False,True,7180.806838989258,4453.630986720324,92,52.0
14570,False,False,21354.52514648437,86767.77136230469,27,46.5
146748,False,True,7278.960929870605,2215.195003509521,89,49.75
146749,False,True,9305.370819091797,7693.54697060585,89,50.0
150681,False,True,9042.167877197266,700.3029975891113,92,54.0
150686,False,True,8032.571327447891,7267.956999778748,91,49.0
150957,False,True,8016.920073509216,1680.4800021648407,92,50.0
151038,False,True,8029.506973266602,5571.15202331543,92,48.0
151094,False,True,2926.705943346024,4406.297964334488,85,49.0
151455,False,True,3843.3729860782623,12301.661041259766,90,48.0
151456,False,True,5401.612001955509,4546.54305267334,91,49.0
151501,False,True,6495.148096203804,5637.03205370903,91,51.75
151618,False,True,6885.486993312836,8842.972120285034,90,52.5
151619,False,True,5544.326873779297,776.9100034236908,91,49.0
152140,False,True,1926.2810373306277,1642.6410064697266,91,51.0
152177,False,True,9036.999008178713,6612.401977539063,92,50.0
152265,False,True,6166.713909089565,10306.23713684082,86,52.0
152266,False,True,6778.256922006607,7245.35799908638,91,52.5
152748,False,True,4440.747907876968,8766.526054382324,88,48.25
152749,False,True,6747.594955340028,6852.211013793945,92,49.0
152900,False,True,8100.063153982162,4076.7589263916016,92,50.0
