gp_nr;n_meters;n_meters_with_data;meter_max_winter_summer_ratio;meter_min_summer_share;n_heat_pump_like_meters;n_production_only_meters;meter_max_imp_kwh;meter_min_imp_kwh;household_imp_kwh;household_exp_kwh;is_winter_dominant;has_dedicated_hp_meter;has_production_only_meter;is_multi_meter;is_multi_unit;meter_concentration
708823;2;2;45.988687701953886;0.021281717981632798;1;0;14530.819020152092;6678.921959795058;21209.74097994715;5353.025048609823;1;1;0;1;0;0.6851012010891752
709084;1;1;7.13787443748241;0.12288221054309692;1;0;23851.48796916008;23851.48796916008;23851.48796916008;0.0;1;0;0;0;0;1.0
709341;1;1;12.00153787114669;0.07691397817016885;1;0;12535.605013176799;12535.605013176799;12535.605013176799;6421.565927579533;1;0;0;0;0;1.0
709624;1;1;3.1658035351882305;0.24004972667411578;0;0;49593.80499076843;49593.80499076843;49593.80499076843;20196.802978779888;0;0;0;0;0;1.0
710494;1;1;1.056234445112963;0.486325867352671;0;0;1133.6289959810674;1133.6289959810674;1133.6289959810674;5186.839799143374;0;0;0;0;0;1.0
710570;2;2;;1.0;0;0;2159.193019479513;35.36299979686737;2194.5560192763805;0.0;0;0;0;1;0;0.983886034584559
710897;1;1;1.0855239598756208;0.47949580980102446;0;0;874.8450046777725;874.8450046777725;874.8450046777725;6817.734983563423;0;0;0;0;0;1.0
711145;1;1;49.109085780888485;0.01995646067806326;1;0;7740.288975208998;7740.288975208998;7740.288975208998;25893.93803921505;1;0;0;0;0;1.0
711259;1;1;4.437317293479106;0.18391422571555371;1;0;3173.751001536846;3173.751001536846;3173.751001536846;10245.108024008106;1;0;0;0;0;1.0
711464;1;1;2.661207350916051;0.2731339430283279;0;0;24728.997985839844;24728.997985839844;24728.997985839844;0.0;0;0;0;0;0;1.0
712273;1;1;3.4577460458213682;0.22432861578944965;0;0;2502.265990704298;2502.265990704298;2502.265990704298;2543.010979597573;0;0;0;0;0;1.0
712641;1;1;27.303277369607105;0.035331597360305333;1;0;2135.319004688412;2135.319004688412;2135.319004688412;4044.137950344477;1;0;0;0;0;1.0
713405;1;1;1.166530066457769;0.461567561642465;0;0;6476.4780015945435;6476.4780015945435;6476.4780015945435;601.467003788799;0;0;0;0;0;1.0
713578;1;1;30.729427304044787;0.031516484379550166;1;0;6848.433998405933;6848.433998405933;6848.433998405933;20848.893011145992;1;0;0;0;0;1.0
713894;1;1;0.9370645320797382;0.5162450622779953;0;0;2004.537982404232;2004.537982404232;2004.537982404232;0.0;0;0;0;0;0;1.0
714489;1;1;231.78117965401046;0.004295879939633992;1;0;2342.4879857958294;2342.4879857958294;2342.4879857958294;4307.201887249248;1;0;0;0;0;1.0
714588;1;1;131.30131648654103;0.007558503774236666;1;0;4006.7040006779134;4006.7040006779134;4006.7040006779134;4153.782953299582;1;0;0;0;0;1.0
714621;1;1;7.563214598267394;0.11677857520963346;1;0;5376.587015986443;5376.587015986443;5376.587015986443;1976.5259838240454;1;0;0;0;0;1.0
714976;2;2;5.350746076798868;0.15746181439268883;1;0;9956.789979338646;2739.4689799547195;12696.258959293365;5062.67698282795;1;1;0;1;0;0.7842302217733601
715586;1;1;1.343919113120208;0.4266358827838591;0;0;7341.677003860474;7341.677003860474;7341.677003860474;0.0;0;0;0;0;0;1.0
716143;1;1;1.4820672720311776;0.40288996646801556;0;0;6933.824989080429;6933.824989080429;6933.824989080429;8787.29000329459;0;0;0;0;0;1.0
716671;1;1;13.432671996140458;0.06928723941536377;1;0;32927.97898411751;32927.97898411751;32927.97898411751;18878.45584695658;1;0;0;0;0;1.0
716735;1;1;19.93788137069365;0.047760324088934845;1;0;13592.846017304808;13592.846017304808;13592.846017304808;13570.92692157079;1;0;0;0;0;1.0
716968;1;1;2.3445609263035325;0.2989929087957197;0;0;3603.7140197753906;3603.7140197753906;3603.7140197753906;2515.8429805114865;0;0;0;0;0;1.0
717438;1;1;25.61558115409744;0.03757197688865986;1;0;9933.316011607647;9933.316011607647;9933.316011607647;20726.725979498704;1;0;0;0;0;1.0
717797;1;1;26.791164751490292;0.03598265883931242;1;0;7119.4779855189845;7119.4779855189845;7119.4779855189845;7185.0579495447455;1;0;0;0;0;1.0
717974;1;1;13.330493693724515;0.06978126653360947;1;0;20616.103035651147;20616.103035651147;20616.103035651147;12801.438728888286;1;0;0;0;0;1.0
718040;1;1;;1.0;0;0;52.50999915599823;52.50999915599823;52.50999915599823;1868.5240025520325;0;0;0;0;0;1.0
718645;1;1;14.476712315898403;0.06461320593087158;1;0;9023.507011711597;9023.507011711597;9023.507011711597;17607.638964700163;1;0;0;0;0;1.0
718990;1;1;25.506924942488112;0.03772599055415492;1;0;9303.078028352931;9303.078028352931;9303.078028352931;10594.221913721063;1;0;0;0;0;1.0
719301;1;1;31.23579989515561;0.031021411078751605;1;0;5104.632008694112;5104.632008694112;5104.632008694112;22686.366828665603;1;0;0;0;0;1.0
719912;1;1;299.79266066083625;0.0033245492021082477;1;0;5458.04002841562;5458.04002841562;5458.04002841562;11814.083803509828;1;0;0;0;0;1.0
720022;1;1;30.276075124223805;0.031973321333580135;1;0;6476.395011454821;6476.395011454821;6476.395011454821;25677.934350375668;1;0;0;0;0;1.0
720199;1;1;3.847757871800882;0.2062809295441384;0;0;2165.421981945634;2165.421981945634;2165.421981945634;0.0;0;0;0;0;0;1.0
720260;1;1;;1.0;0;0;1153.2089956998825;1153.2089956998825;1153.2089956998825;2461.821998357773;0;0;0;0;0;1.0
720480;1;1;;1.0;0;0;250.41700160503387;250.41700160503387;250.41700160503387;3203.7949919700623;0;0;0;0;0;1.0
720808;1;1;6.347822191515658;0.13609474670667376;1;0;4982.00999045372;4982.00999045372;4982.00999045372;9362.00799752376;1;0;0;0;0;1.0
720967;2;2;25.171870884676103;0.038208961231942735;1;0;8278.806964049116;5835.6529841423035;14114.45994819142;29923.36851836217;1;1;0;1;0;0.5865479086296841
721906;1;1;1.0264618993763701;0.49347091120131253;0;0;12238.687009096146;12238.687009096146;12238.687009096146;0.0;0;0;0;0;0;1.0
722764;1;1;13.219134533631511;0.07032776837681441;1;0;6619.339016348124;6619.339016348124;6619.339016348124;5257.477996519301;1;0;0;0;0;1.0
722853;1;1;4.103058498590232;0.19596091251477116;1;0;6544.944936484098;6544.944936484098;6544.944936484098;3956.55090605421;1;0;0;0;0;1.0
722929;1;1;7.749054179620694;0.11429806919350383;1;0;24527.63193295896;24527.63193295896;24527.63193295896;15803.559109238093;1;0;0;0;0;1.0
722955;1;1;37.69609500629814;0.025842400889217403;1;0;1499.8430042266846;1499.8430042266846;1499.8430042266846;8258.611874633352;1;0;0;0;0;1.0
723437;1;1;44.07210736759634;0.02218667061303039;1;0;18690.20701981336;18690.20701981336;18690.20701981336;31522.571375685744;1;0;0;0;0;1.0
723468;1;1;4.0520031060091375;0.19794128764698177;1;0;15352.238990664482;15352.238990664482;15352.238990664482;14646.652028553886;1;0;0;0;0;1.0
723701;1;1;93.10719821338249;0.010626179707662312;1;0;5997.659979045391;5997.659979045391;5997.659979045391;21192.069342879928;1;0;0;0;0;1.0
723937;1;1;16.97713364625793;0.05562622049083766;1;0;29459.575504280627;29459.575504280627;29459.575504280627;25363.26978096133;1;0;0;0;0;1.0
723966;1;1;0.0;1.0;0;1;43.06000007688999;43.06000007688999;43.06000007688999;5505.784994602203;0;0;1;0;0;1.0
724118;1;1;1.131417395210173;0.4691713609203198;0;0;25915.86203622818;25915.86203622818;25915.86203622818;321.3590026162565;0;0;0;0;0;1.0
724334;1;1;6.819541203303666;0.1278847408051909;1;0;6304.664996743202;6304.664996743202;6304.664996743202;21796.24000446312;1;0;0;0;0;1.0
724881;1;1;9.63676467470026;0.0940135492870796;1;0;14731.136983305216;14731.136983305216;14731.136983305216;34787.259888078086;1;0;0;0;0;1.0
725159;1;1;1.054387716815863;0.48676303494937173;0;0;11693.41199016571;11693.41199016571;11693.41199016571;0.0;0;0;0;0;0;1.0
726547;1;1;5.69505818320188;0.14936389985512488;1;0;20712.302037239075;20712.302037239075;20712.302037239075;0.0;1;0;0;0;0;1.0
727027;1;1;7.089835380100895;0.12361190963907205;1;0;15051.487000197172;15051.487000197172;15051.487000197172;24511.182000262663;1;0;0;0;0;1.0
