amplitude_kw,minimum_duration_hours,family,weekly_score_cutoff,minimum_evidence_weeks,score_floor,flagged,new_positive_overrides,accuracy,balanced_accuracy,pr_auc,precision,recall,f1,brier
1.5,1.5,repeat,0.9,3,0.7,50,28,0.34328358208955223,0.532345013477089,0.48350296609053867,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.3542633826261239
1.5,1.5,repeat,0.9,3,0.9,50,28,0.34328358208955223,0.532345013477089,0.17983118968766976,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.5439398454092661
1.5,1.5,repeat,0.9,4,0.7,48,28,0.34328358208955223,0.532345013477089,0.48658162377518954,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.347283646402019
1.5,1.5,repeat,0.9,4,0.9,48,28,0.34328358208955223,0.532345013477089,0.18558551104438303,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.527407870379191
1.5,1.5,repeat,0.95,1,0.7,46,27,0.3582089552238806,0.5417789757412399,0.4912495749806479,0.22641509433962265,0.8571428571428571,0.3582089552238806,0.3353773460779435
1.5,1.5,repeat,0.95,1,0.9,46,27,0.3582089552238806,0.5417789757412399,0.19316681273606473,0.22641509433962265,0.8571428571428571,0.3582089552238806,0.5059493312491453
1.5,1.5,repeat,0.95,2,0.7,38,22,0.43283582089552236,0.5889487870619946,0.5099730589869936,0.25,0.8571428571428571,0.3870967741935484,0.2909398452060238
1.5,1.5,repeat,0.95,2,0.9,38,22,0.43283582089552236,0.5889487870619946,0.22668930013932517,0.25,0.8571428571428571,0.3870967741935484,0.42330287515334497
1.5,1.5,repeat,0.95,3,0.7,31,18,0.4925373134328358,0.6266846361185984,0.5124301366797309,0.2727272727272727,0.8571428571428571,0.41379310344827586,0.2707870921668935
1.5,1.5,repeat,0.95,3,0.9,31,18,0.4925373134328358,0.6266846361185984,0.2271918294800182,0.2727272727272727,0.8571428571428571,0.41379310344827586,0.3816575848007819
1.5,1.5,repeat,0.95,4,0.7,20,12,0.5522388059701493,0.6381401617250674,0.5187149834145269,0.2894736842105263,0.7857142857142857,0.4230769230769231,0.24927635269391002
1.5,1.5,repeat,0.95,4,0.9,20,12,0.5522388059701493,0.6381401617250674,0.23212100803173177,0.2894736842105263,0.7857142857142857,0.4230769230769231,0.3265473399492589
1.5,2.0,block,0.85,1,0.7,55,33,0.3283582089552239,0.5754716981132075,0.48968116730835176,0.23728813559322035,1.0,0.3835616438356164,0.3590542236997162
1.5,2.0,block,0.85,1,0.9,55,33,0.3283582089552239,0.5754716981132075,0.1918973408591119,0.23728813559322035,1.0,0.3835616438356164,0.560670984990321
1.5,2.0,block,0.85,2,0.7,54,32,0.31343283582089554,0.5397574123989218,0.48308172145027206,0.22413793103448276,0.9285714285714286,0.3611111111111111,0.36709619218750744
1.5,2.0,block,0.85,2,0.9,54,32,0.31343283582089554,0.5397574123989218,0.18059254396109464,0.22413793103448276,0.9285714285714286,0.3611111111111111,0.5699069833288586
1.5,2.0,block,0.85,3,0.7,53,31,0.3283582089552239,0.5491913746630728,0.48514701933404936,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.36019170689617996
1.5,2.0,block,0.85,3,0.9,53,31,0.3283582089552239,0.5491913746630728,0.1838994972644249,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.558226378634546
1.5,2.0,block,0.85,4,0.7,52,30,0.34328358208955223,0.5586253369272237,0.4870389696282552,0.23214285714285715,0.9285714285714286,0.37142857142857144,0.3539967006260567
1.5,2.0,block,0.85,4,0.9,52,30,0.34328358208955223,0.5586253369272237,0.18708213800026469,0.23214285714285715,0.9285714285714286,0.37142857142857144,0.5472552529614377
1.5,2.0,block,0.9,1,0.7,53,31,0.3283582089552239,0.5491913746630728,0.48514701933404936,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.36019170689617996
1.5,2.0,block,0.9,1,0.9,53,31,0.3283582089552239,0.5491913746630728,0.1838994972644249,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.558226378634546
1.5,2.0,block,0.9,2,0.7,53,31,0.3283582089552239,0.5491913746630728,0.48514701933404936,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.36019170689617996
1.5,2.0,block,0.9,2,0.9,53,31,0.3283582089552239,0.5491913746630728,0.1838994972644249,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.558226378634546
1.5,2.0,block,0.9,3,0.7,52,30,0.34328358208955223,0.5586253369272237,0.4870389696282552,0.23214285714285715,0.9285714285714286,0.37142857142857144,0.3539967006260567
1.5,2.0,block,0.9,3,0.9,52,30,0.34328358208955223,0.5586253369272237,0.18708213800026469,0.23214285714285715,0.9285714285714286,0.37142857142857144,0.5472552529614377
1.5,2.0,block,0.9,4,0.7,51,30,0.34328358208955223,0.5586253369272237,0.4887002363838617,0.23214285714285715,0.9285714285714286,0.37142857142857144,0.35193732707654724
1.5,2.0,block,0.9,4,0.9,51,30,0.34328358208955223,0.5586253369272237,0.1900860882572671,0.23214285714285715,0.9285714285714286,0.37142857142857144,0.5404197600089432
1.5,2.0,block,0.95,1,0.7,43,24,0.40298507462686567,0.5700808625336927,0.4976309019121796,0.24,0.8571428571428571,0.375,0.31803662355542095
1.5,2.0,block,0.95,1,0.9,43,24,0.40298507462686567,0.5700808625336927,0.20443793762286983,0.24,0.8571428571428571,0.375,0.4742802505176675
